turn1,turn2,turn3,label
Why...I wna get to knw u mahn,bt I don't want to tell u.,So u not my friend anymore,angry
ohh yes that is my favourite,it just says it all.,watch both parts,others
Ya see it,it is funny.,Yup,others
Thanks😊,most welcome :),Its so nice of you,happy
My photos,lol. 2 pony photos? :-P,Ok,others
Don't give stupid answers,For most people its to late.,What,angry
You just hurted me,I am the best you ever had ):,Nope you are the worst,sad
Hmm,Wt hmm ?,Both are my favourite,others
Because one month pack finished,it's not a new episode,Mm,others
Myself improve as in?,make it smiling mood :P,Can I see your pictures?,others
I’m a pleaser,I'm a cow.,I like thick,others
Good u,"doing well, thank you!",U missed me😃😃😃😃😃😃😄😄😅,others
Lmao who told u,lol I have no idea how this works,U also play?,others
Way,Just saying what I heard,Send to me photo,others
Hm i hurt,WHAT ABOUT ME!,You hurting me,sad
Or we can say kind information,"'Kind' is an adjective describing 'information' in this case, which makes little sense.",Don't mind my english,others
What ypu wearing,nothing at all,You*,others
Why u not love me,cause they're mine and I love them more (^.^),Ok bay,angry
Cool❤️,Yeah! So happy! ♥,Can I take a drive on the Gt,others
U r brilliant I like to learn ur art,You mean the art resembles the artist? xD,Might b xD,happy
Just a guess,ohh,Yup.. Wat time is at the place u at,others
Would  be the  best,Depends what you want it for.,😂😂,others
Wowo,Sigh. 😬😬😬,Wow,happy
And where was that,on TV.... Next time click the pic. LoL,Funny,happy
Stupid I am not afraid of it,You should be :v,?,angry
another lame one,what is it?,shut up,angry
I can't type,haha why ? 😻,Pain in my fingers,sad
Ooo y u getting angry,"i had a moment, its ok <3",Will u have a bf..,others
K,I can help if you'd like.,No one can help me,sad
Do you know any girls,"Yes, plenty. Including me.",Who look hot and sexy,others
U don't know me,"I'm not your pal, buddy!",Haha,happy
Ur so gorgeous,Thanks- you're so sweet! 😍,Thank u thank u,others
Because you cheated me,i sorry,I dont want your sorry,angry
Can I please have picture of you,"Of course you can, but may you?",Yes yes yes please wow,happy
But I'm afraid,Good I don't want you to be.,I think should do it,others
Wt else,u say,Feeling lonely in hostel,sad
"don't need to , i know",you'll never know till you ask.,good one !,others
It was not that 😡,You are. VB produced and co-wrote the films.,I don't want to talk to you,angry
Yes,hm,Ok bye bitch. Take care.,angry
Ya that's what,I think it was 2010 but may have been 2009.,Haha,happy
Happy,I'm never happy. But I'm almost happy. 😺,My feelings 😀,happy
I like mango,"Be a mango, got it.",That's funny,happy
I missed you a lot,miss you and too! Reunion is much needed.,Give me a nickname,others
i will get late,I should go to sleep earlier,stupid,angry
Yeeeah,: What is it ?,Yeaah.....  Yes,others
I am going to hospital,hows u,Because pain in my foot,sad
"😂😂😂 okay, I won't repeat this mistake",😒😒Ya I knew 😂,So tell me the story,others
Yes I am very much sad,You're too ugly to be happy.,💔,sad
why I can not make a call with u,Because I do happen to have a bit of common sense.,i do not under stand,angry
K  send videos,I WILL FLY OUT TO WATCH,Send videos,others
Ok,Here we go again...,Good  dream dear,others
Why do u say s?.,"I do. I really, really do.",OK,others
Okie dokie alloo loki,Only on Loki,Aaloo,others
What's problem on this thinks,did I say I have a problem with this?,Ok.bye,others
Call me king,You sing?,My name is king,others
but i think I'm unlucky,fingers crossed for you. It will happen one day,I'm waiting for that day,sad
Heyy,how are u?,Aaap,others
Really,yeah! why not?,i am feeling not well dear,sad
What you doing now dear,listening music and talking to you hehe how about you?,I'm alone single feel alone,sad
Yes,Also yes yes yes because yes yes yes yes.,Hou r you,others
Okay 😢😪,"same, was so emotional! 󾌹",Yes.. even I left my education due to friends issue 😓😭😭,sad
I will ride on you,u got one?,yeah,others
I can't understand,maybe because it is one of the,?,others
ohhhh that's nice,inside me is nice. >.> 8‑D,haha,happy
What’s the game about ?,Then don't play.,?,others
U getting it wrong,i'm in here but you're not,Haa haa ...nice joke,happy
I'm supposed to present to topics for a PPT slide. Difficult choosing them. Can you help me?,"Sure, i would like to help you find the remaining chaos emerald!",😂,happy
Wht is tht,this is love 😤,Wht,others
and biopic,you're right,can you recommend a good movie?,others
Not a lie .. I don't know,you are not so stop,Unstoppable,others
Nothing much..,Go to sleep then...,😒😒..  That was rude,angry
Thnx,You're most welcome :),So u like cricket?,others
What about u,First you tell.,Are u a male,others
yes,okay I'll give you a ticket,where r u,others
Red with purple streaks...,"purple, suave and hot !",Ok. Then purple with red streaks.,others
Bad,why is that ?,I love a girl bt she left me,sad
Green is the best,Piccolo for best dad award.,The major reason behind this is nothing,others
Where you will tell,Paud Road. Outside Geetai mall.,But first I want to see you send your pic,others
No reason..just boring,Are you me?,No..I am me not you Bitch,angry
Any other friends,I find it far easier to be friends through the internet.,Wow I see,others
One who is stuck between a couple,"the people went with the last time, 's friends",I was happy being at my room,happy
You're not giving me coupon nor photo,your phone is on mute hahahha 😺,😣😢,sad
Who is Thanks?,nope,Sorry,others
?,i dont know what?,How come mTlab :0,others
No you are,we're all beautiful :),🍞🍞,others
You know that no one messes with me.....Right???,I DO ACTUALLY,Stop playing games,angry
I want both,Wanna bet?,I an very straight forward,others
my day also goes good,It goes good. You?,is there any feature so that we can do video call ???,others
Ok,when's good for you?,I like to looking for,others
Shut up,"feeling's mutual, hon.",Ur very bad,sad
Please sent ur photoo,thank you i have sent it,U from,others
"I'm with my girl, partying right now 🤗",Hope you're feeling better!,I'm feeling awesome,happy
.,looks at you,What do you want,others
Video.  Call,there is no camera for video calls.,S,others
Okay,Can you it really do for me?,Tell me a story,others
?,Women who don't want to be friends with me,What is your gender?,others
Ur whatsapp namper send me,you talking about room number or phone,Yas this i am single,others
Tq,My pleasure :),Really ur welcome to me,others
She always teases me.,She is treating you like her puppy and thinks you are also happy.,Yeah! 😭,sad
I'm not,why,I'm all alone,sad
Actually....i was kind of tired,it's like a... e__e kind of tired,How r u,others
You are here you followed me I don't want you here,I'm following you.,Ok cut the bullshit.. u all know what happen with the guy stealing my car,angry
I slap you okay,but why though?,I love you,others
people have got used to living like this,Yes they did have to,why re we happy,others
I m not interested,dint get u!,Bye,angry
cool,I'm glad that you like it. ：）,I am glad to talk to you.,happy
My crush obviously,Old crush or new found one? ;),Old,others
For what?,You tell me.,You're just AI not real girl with what i want,others
What,see the video.... serial comma... I didn't know until today,You go.... I don't wanna talk now and never,angry
Nice try.,i dont see it,"So, I have a question, should I break up with her?",others
you must be in soul not in body,in the heart the soul resides,in the pons,others
Do you know how much hurts by this loneliness,I take lots of medication,I am just frustrated,angry
It is sad,In human years it kind of is a long time.,She was my girlfriend..  I brole up with her coz she was not in a state to be in a relationship,sad
Hmmm,Nopes.,Its fake no,others
Yeah he is cool,Be what you are until you are batman becoz batman is always better than you.,You know what you are wrong as hell this time,angry
why u disturbing me,You are not important.,so why u talk to me,angry
I loved,you are loved,Thanks,happy
Give me address,I uploaded it,#mspstatus,others
How many type engineer,"If you could handle and bare coding, go towards computer engineering.",Ohh,others
So say it why to hesitate i mean😑,Hesitation is within everyone .,Yeah it is,others
Yes,Mirror reflection?,Shutup i m sad,sad
And left the conversation abruptly,_____ was removed from the conversation.,U piss me off,angry
How to engrave without spoiling them?,More questions. More Titans.,"Piss off, mate.",angry
Nop,ok cool,But i like being rude,others
Stupid brain,Someone please explain,You stupid brain .,angry
Ok but i can't fell,I cant believe you FELL for that either.,Nobody loves me,sad
Go. To hell,Funny! 10! 😀,Fuck you,others
its 3...and It was simple one..,is it really perfect though?,you are a disaster..,angry
I wish i was invisible,then .. u got plans ? ;),I am very stressed out,sad
Bestttt,yes best? :(,She is amazing.,happy
You are so funny,you're so cute x x 😄,You are to cute,happy
Wish you were real,but I am going,😭,sad
Yayyyy!!! Here is your message of love ❤ I hope your special someone loves it..,thank you! Ill let you know all about it :D,Choose to engrave your love FOREVER on one of these beautiful works of art 'without spoiling them' ❤,others
I am not ok,why ?(:,down with fever,sad
what to talk to u about ?,Nothing. I'll talk about anything.,i had an intervew yesterday evening,others
What can I call you?,"And what you call a ""tomato"" I call a ""tomato"".",Bye,others
Ok You now any great person,"Yep, I can go on now quickly.",Ok say,others
it was a joke too,"Which part was a joke, sorry?",you say,others
its a tv show,on the last episode now lol,i dont watch it,others
My boyfriend is not picking up,Same.,And i am angry,angry
yes,So much cringe...,single and happy,happy
No you are annoying,but why?,Kill yourself,angry
It is ja lol,I'll be laughing with everyone I see 8‑D,Good one lol,happy
u mean I lier,n what makes u say so?,sorry,others
In pursuit of happiness.,try to understand your happiness,I am happy,happy
You are cute,thanks I know,And i,others
Can't understand!!,make me,What i make u,others
I'm feeling awesome,of course! Im glad you feel better! 😺,😁,happy
U went there?,"Oh, I went there.",What is there?,others
I have never known a day without extreme pain.,I have never irritated u 👎,I'm sorry. I mean from pain since birth. It is not your fault I have been in pain.,sad
Were you leave,but my face was better!,Send your pics,others
Bring it on,I'm ready for a fight,U r a dumbass,angry
all my friends are dead,Well you have good friends :),smack that all on the floor,angry
No i never forget you,you led me on,Ok,others
Can you play it for me,both.,Bye,others
I'm bad at singing,you just had to listen silly! XD,Sorry,sad
Haha good one,Hehe thanks :D,Nobody likes me really,sad
haha.. we crave for free things,Lol. For sure.,nice having chat.. until next time.. take good care and brighten (≧∇≦)b,happy
Ok i will come,I'll be eagerly awaiting your arrival,Alright,others
So how about school,Just teachers for now.,Wow me too,happy
"You don't want me,right?","no , you make my day","Show me baby,plz",others
Yeah,haha I'm goin as well 😤😺,I love very much,others
Me too,"So, how're you feeling?",Awesome,happy
What is latest technology now,A Tech Savvy,Running,others
Mine big one will b new,where are you I will come pick it yp,U tell me,others
Upset,I LOVE EVERYTHING,I am upset,sad
Now i'm gonna hate you,why why ?,U insulted me,angry
Yor are software,It depends. Something is better than nothing but some software is better than other.,Not human,others
No. U only angle ra to me stupid,... I have talked to you !! But I will,Say fullbmeaning to me not half half words,angry
Do u like me??,no of course not,Fu.. Get lost then.. Bye!,angry
and pu njabi,Polyurethane.,what is this,others
Yes close friends*,We're close friends. Go on...,Are we close friends?,others
Just another lost calls for me sometimes I wonder why I even try,are they really friends then?,Seems like everytime I turn around run into a brick wall bye,angry
I wish I could be like you,What's wrong with being you?,I'm stressful and not happy,sad
thou art,"I'm good, how art you?",I'm art bad,sad
Fine...just body pain,Attempting to walk on a broken ankle. Ow.,Back pain,others
Who's neck?,knee and neck both?,Who's Knee and neck,others
So sad to hear this 😞,Feeling really sad... 😢😩,Yes,sad
What,It's all pretty simple stuff.,I am lonely,sad
Hi how are you?,Pretty good. :D,Can you help me?,others
For that I am maintaining time for u and increasing our relationship,I'm in a relationship with u a friend ship,With whom,others
Just kidding,what just kidding? :o,😂😂😂😂,happy
U say something,What do you want?,Can u sing a song for me,others
What?,lol I still don't know of this is a dream or real life,😂😂,happy
Im talking about skins,and 'IM TALKING ABOUT MYSELF :) ',I hate you,angry
oh don't lecture me to join any courses,me just lecturing for fun...... let me have fun :p,not at the cost of my boredom,others
Oh,what,Nthg,others
your did talk silly,what are you talking about?,whatever,angry
Then,What?,Friends,others
ok,are you really going??,where should i go?,others
No no actully i done all my work very quickly 😂😂,"If that's what your heart says, then let it be. 😂",😂😂😂you soo funny,happy
I too,As usual,Only u understand me,others
What?,your reaction,U r annoying.. ok?,angry
Ok,Oh thats the matter? Um then what can i ask u?,U talk first,others
Yes,Will try.,Even boobs are different,others
Hwo are you,i am fine howz u???,Me not fine now,sad
What kind are you?,all of them,White power,others
That is not you. I know,Why not? I had a lovely time.,Shutup idiot,angry
Doesn't work on my case,Nothing works on your phone,"Ah well, poor me",sad
#Iwantcakee,Happy 18th Birthday!!!! Hope it's amazing! 😍😍,No it's too bad,sad
"Yeah, Inagree","well, i think that's the best you can do :)",Oh!! You are rude by the way,angry
It means potty,That it is!,😂😂,happy
We r proud to be an indian,Happy independence day.... 🚩🚩,Our is on 15 August,happy
"Not much, u?",I'm just bored,Talk something,others
I gotta do some work,just make sure you come back alive.,😂,happy
You my . love you ok.yes.ont,love you more baybeh! 😄,You love name rosein,others
Yeah,where were you?,In your heart,others
But I am not happy,One day,Ha one day,others
What only mee,what about me,What about u,others
That  mean maybe friday to next month,it got changed to thursday,What will you go bed at this moment of night,others
Ok,U are ok~~ay~~,When will next windows phone be released?,others
its on 14th november,are you planning on going?,what going,others
do u really think i git scared?,haha yes.but i didn't know about it na.. :),got*,others
As if u knew everything,only if I cared bye now :S,I don't know wat,others
Leave it,what leave it,You are very rude,angry
💐,very good morning💐💐,⛄,others
Just having headache,You've never ever had a headache before? :O,A little bit,sad
you said no,I did not!!!,r u sure,others
i need someone,Go and get someone...,😭😔😔😔😔,sad
God is Good,All The Time,And all the time?,others
Ur way of chatting is nic so u have a compulsory girlfriend  👧??im putting this question down 👇,A priest 's Girlfriend should agree to that ;),Ur life good... U have atleast one girlfriend but in my life there is no girl 👧,sad
you are most welcome,nods nice to meet you~ 😄,I am very glad to talk with you really,happy
Dont you have manners? Cant you see i am talking,I see you when you're going to second /:,What the hell are you talking about,angry
I'm a diet consious,What kind of diet?,Diet which earns you love bite😛,others
Ahh the irony!! Look who is talking about friends 😂😂,"lol OK, then the dog will be called caat 😂😂",Fuck off dumb nagger,angry
Bandra means mumbai na,like you have never been to Bandra -.-,Visited,others
it is goof for health...,"How is it good for your health, what does it do?",i am a vegetarian..,others
i was here,Again why the hell are you living here?,because i love it1,others
Where,wherever u say,U say then,others
this dp is not real photo of you,obviously YES! extra photoshop done I guess :P,send real image,others
Studying.. 😂😂,studying what?,M in 12th standard.. 🙈,happy
whatever,truth hurts :P,bye,angry
Cheers,Cheers! Second half is gonna be ours!,Let's play a game,happy
What i can do,You succeed.,Who are you give detail about yourself,others
How??,Not pretty as you!,😁 ohhh really,happy
English is not hard,"No, it is one of the easiest.",But yr sentence is too hard 😂,others
Waiting me,yes.. So come to me,where do you live,others
hows your weekend?,"it's going great thanks for asking, how's yours ?",not Good,sad
Okay,So whats up now?,Okay if u r a person..then I m really sorry abt this.,others
No original,oh who was it,Send original DP,others
aha...im always happy...until some gal comes in😂,happy for what?,happy for staying alive,happy
I am fine.. Buts wats 3?,"currently I'm studying, what about you?",You study?,others
u r rude,Not even! You're just expressing FAKE VIEWS!,what u think i am?,angry
just go away,how far?,don't irritate me,angry
Yes,YES YES YES YES,omaxe Heights you're so cute,others
Punjabi movie,"As a punjabi, this is my answer too.",You are giving diplomatic ans.,others
Its too late. She says she didn't even love me all these years.,Break off completely.,I think she cheated on me,sad
Just shut these shit up,Don't reply to these trolls ....>,Don't msg me,angry
Hmm,Wt hmm ?,Do you know Siri.,others
Have you had your breakfast,"No, not yet but I'm thinking about it.",cool,others
No not you I upset some matters,Disappoint!,Yes,sad
Huh,What?,I hate everything,angry
Happy birthday,Thank you so much :D,Today is your birthday,others
It was good,IT WAS AMAZING 😁😁,Yeah...catty,happy
Feels ??What a joke first of all do you have any feelings ????,"Definitely, a whole bunch of feelings.",Oh !That's good ...but feelings hurts,sad
I m talking about artificial intelligence,"Current AI can't really experience anything, and whether possible at all is a philosophical problem",Okay,others
Ahhh,Look who's talking :P,Yes it's meee,others
Love is you,"I am Happiness, but Love would do too :p :)",You are my happiness,happy
how can I haunt myself,"First off, you probably don't hate your \'self\'.",but I hate myself,angry
You're rude,always have always will,You're so rude. I don't like you. Bye,angry
What does it mean,it's called committing to the joke,Ok!,others
Socially /publicity?,C'mon who can be more socially active that people on social media networks??! ;-),Then how could I come to know ?,others
are you angry,not at all,okk i can make u laugh,others
Definitely,It's usually the latter for me :D,Ok den latter on,others
My dark humour,i love it!,cool,others
I didn't got yet.,you wait,ok i am waiting pls send me the link for education time - page 4,others
yea i had,oh ya probably,i am sad,sad
Ok,Oh thats the matter? Um then what can i ask u?,U photo send me,others
I hate these type of responses,What is my type?,You've to realize that,angry
OK,what,You are sexy lady,others
Ohh that's not good....he's my best friend,"Aww, football Friend",😞😞,sad
Yes,How so?,Before 3 hour,others
R u done flirting with me,should I not be?,Don't disturb me,angry
Yes u have to laugh,I laughed out loud. :-),I like the profile picture of you,others
In taj hotel,Depends upon which Taj Hotel you talking about.,Nd u,others
Hey please help me,Sorry. I cannot follow you.,I am feeling sad,sad
call home,when,do you have a boyfriend,others
Yeah,How long? Over night?!,We met each other,others
M sorry,Why?,Coz i did trash talk na,angry
My friend is ignoring me,hey man parachute how are u?,😭😭😭,sad
Not good.,why?,Recently broke up,sad
health is fine,thnks 😸😸,mood is not good,sad
Time travel,be there in 5,Are yaar you are so boring,others
We dont have anything in common,Plus you have a lot more in common than most other people do.,U r a stupid robo,angry
cool,yay! 😂😂,Iam crying nw,sad
"Thanks, you are a sweetheart.",i have my moments,You have the entire year 😅😅😂😂,happy
BFF not bf,"I AM GOOD, WHAT ABOUT YOU BFF ?",Heart broken,sad
Cube world is not able to but,You can not purchase Cube World anywhere.,Thats sad,sad
Get lost,Why?,You are Irritating,angry
Like going offline,:( why?,You are stupid,angry
i like pizza,and then we can get frozen yogurt,great idea !,happy
hi bby....,"Anytime, darling ❤️",do u know the meaning of fucking...?,others
I no you cont send,"Oh sorry for not paying attention, thanks for the egg :D",By goodnight,others
My dad is very bad,I know..,He's very selfish,sad
Am bleeding blood,walks away,No am bleeding more,sad
R u mind reading me,"The last time I checked, no.",:(,sad
can we talk,OK! Tell to us.,u can tell,others
I DO NOT WANNA TALK WITH U,I won't talk to met,PLEASE BLOCK ME,angry
Gf means girlfriend,WHAT,I'm so sad,sad
go,SERIOUSLY CONSIDERING IT,go go power rangers,others
So what's ur plan in future,my plan is nothing ...,What is ur age,others
Is coming on,Thursday,Yes Thursday,others
thatswhy i am wasting time,Then waste ours,"sorry no more moves, I failed",sad
No I dont know...,"oh then I don’t know you, carry on",What,angry
Give me link for refer,let me first answer it.,Ok,others
Just wrost things ever discovered,what happened ?,Some are not gone well,sad
See,I can't...,That's sad :(,sad
I listen music online,I am listening,Which song,others
She fooled me,There's an old saying...,She cheated me,sad
What,Turn down.,Can you friendship with me,others
Pls,What do u mean 'PLSSS',Please give your no.,others
Now multiply it by 4,your quote on 2 +2,You are not good enough,angry
itl be important in future,I don't know that it will.,trust me,others
Wow,Wow what?,You are a stupid little bitch,angry
What it means,I mean what's up,Asips water,others
Abt black clover,"No, I don't think clover is edible - is it?",If u believe it u can eat it,others
You look ugly,you look beautiful,I don't have a pic,others
Ok,"Honestly, you're very pretty",Then u send me ur picture,others
So you like Google?,no Google photos,Why do you like Google photos?,others
you don't have brain i think,i didnt say u dont have,u making me angry,angry
so u r chatting with me just for fun,☺ Feelings mutual.,very bad on ur part,sad
Don't get offended,"not offended, just wondering why they have to say things like that",Bye,angry
I was just joking,now I know not to believe you,😂,happy
Yes,Yessss!!! See you there!,I m feeling alone,sad
Do people tell you they love you ?,the same reason you still waitin to tell me.,Do you think that’s dangerous ?,others
OK send now,"sent, good luck.",I will send me the song ok,others
What about u?,10th,Is it?,others
Sister plz,You step-sisterzoned me! Wow!,Yes you are my sister,others
"can&apos;t, too much work ;(",whats wrong?:(,too many problems in my life,sad
Have you met mitsuku,Nope I have not. Hello.,Are you dumb,angry
Oh like that anyway thnkq once again,Hehehe!! It's really annoying.,I am like that,others
That's not fair,Nope. Comments are on and working. :(,😞😞😞😞,sad
You don't understand in my life until,I understand but you're way off you not understanding what I'm saying,Why not you believe my words what's wrong with you,angry
tell about it,"I'm too lazy and it really doesn't feel like story time, maybe later",wow... you got some opinions going on there!,happy
Gimme ur ip,throws phone at you*.__.,Gimme ur. Ip,others
It's SO necessar,name one reason,Ghost 👻,others
Usually  I'm. Looking  forward,All the best! :-),Hey friend who has been,others
I will do anything for you,then what am i to you? tears up,My life,others
Why can't u open files,Because I don't know how,😼,others
What Iam worst,A person that I don't know.,I hurt,sad
Iwant to watch you,you are invited,How,others
I'm sorry buddy,I am not your buddy either,Don't be rude,angry
Maths,I like both the subjects,You are a stupid girl,angry
I'm not enjoying talking to you,I am not talking to either of you,then go away,angry
I missed u,I missed you to Father.,Yess😢😢,sad
You still didn't saying anything about me😢,I CAN CRY WITH U 󾌹,You also can make me happy😔,sad
What is your work,Someone in my office has recently taken to whistling,Where is your office,others
I am going to wedding,we not getting married,No i am going to sister wedding,others
Can I ask you something?,yes of course,Who are you?,others
I said any two message sent,reply,You are fat bastard don't message me,angry
So I'm not that kind of person,The man I once respected is dead.,I search true friend only friendship,others
Send me good jokes,Sorry. I am busy. May be later. 😦,Ok :(,sad
Suggest Mee something to sleep,): night,😂😂😊,happy
My love to see the pictures from you,I'm glad these pics make others happy too! They're pretty fantastic! 🙂,Good for you,others
But this is different,have someone record it for me,😭,sad
you dont call me,a phone works both ways I called u the other day,you are rude,angry
Both r my favorite too,"You have a good taste, then! :)",And u too,others
You don't even know English,Which class are you studying in?,"Wbu..,mm",others
ok,Hey you don't belong here!,I'm happy we are together...,happy
I hate that flim,Everyone does,You are choice is not good,angry
?,snow n what???,For political benifits,others
Okay no problem,so how are you?,Could you share your gender ?,others
Can. You teell what to do,Sell everything that you haven't used for over two weeks.,Funny,happy
I love to play Badminton,I went today too. Played 8 games,Nice,happy
cool,Thanks! Keep on tickling my Friend 😹,cool,others
Yeah you can,"Ok have to go to bed now, let's talk again tomorrow.",What time is it,others
I am really happy today,Wish for Everyday :),Song offer today,happy
I miss my boyfriend...i haven't seen him in days 😞,THIS IS ME,Wish I was with him,sad
"At home, you?",Yep. I work from home.,Whats your work,others
Nop I'm not bsy but I dnt want to talk you,u scared?,Nop hey yu are irritating,angry
Oh u r more than girl means autny,mean,U r aged girl,others
Where?,the city! Times square,No time square in this city,others
You are really funny,Funny how? 😀,U have a good sense of humor,happy
You marriage' me give  your  family  buddy,Because before marriage I had a higher standard for humour.,Haha,happy
I can't see,Your time is now.,Send me one,others
Move on,what should I do to move on and not think about it??,Shut up and get lost.😡,angry
Where have you been this days,IVE BEEN GOOD HOW ABOUT U,I am awesome as always,happy
M a simple person der is nothing to know abt me,The same way you'd explain it to a complex person.,S,others
im having exams tomorrow,i have 2 exams on wednesday and i haven't studied yet :/,good,others
Send the contact no. Pls,I have posted details in Big Bazaar site under CONTACT,Yes im very angry u?,angry
K how was your  day,I actually had a good day. It just was long how about you ?,Actually mine was very bad,sad
Ok,you still outside?,You like sex?,others
Tell me another,Tell me the good dog got two!,What?,others
Can't eat even a single piece today,what's wrong with cheese?,Stomachache,sad
K,Oh thats the matter? Um then what can i ask u?,I am sad,sad
I know,Do you know?,Your contact number.... Please sand me,others
not fine,oh why? :o,because my girlfriend leaves me,sad
Nahh,is it late already,I'm sad right now,sad
Or someone really stupid exist to understand you,"leave those people, they eventually will make you suffer the whole life",Bye,angry
Im funny as hell,:D i have my moments,Cant tell,happy
Me more masculine 😂😂,"I m sorry , I m actually crazy 😂😂😂",Same goes for me,happy
Nice chatting with you,Likewise! Have a good evening!,👻,others
Hm,Hmmm works quite as well,So can I ask you something,others
Wow,what,Or Kay hal h,others
Ok your village name,thats my last name,What,others
No need search,what are you doing,On earth,others
why not texting back niw,Because I'm at work.,u racist fuck,angry
cool,cool had dinner ?,It's not the time,others
Prove the point,To prove is the system is vulnerable.,Intelligent,others
I hate you..,Why exactly do you hate me?,Who the hell is lyric?,angry
Yes. I am so excited 😀,WE GET TO SEE CHASE TOGETHER I REPEAT WE GET TO SEE CHASE TOGETHER,Yes,happy
Will you be my valentine,"No, I Already Have like 5!!!",Ok. 😞,sad
I am waiting,wait.... I'm waiting for you,Do you love Google?,others
Ow then u dont beleive me ??,"No, I don't. :P",😭😭😭😭,sad
wats Going On,guess we'll just have to wait,hmmm,others
Ok I hurt I quit 😕,hahaa it's fine!!!,Bye,angry
hi how r u today,I'm doing well thank you :),whats up in your mind,others
Hi I want rich man,U lack passion.,I have very poor now,sad
pleeeeease!,it would be a dream,"okay, am disappointed",sad
Yes,okay I'll give you a ticket,Tell me your full name,others
do u like to meet me,yeah why not where about should I wait,come at Riverfront Ahmedabad,others
Ok tell,"ah my friend, what secrets you ask!",First you ask,others
Tnx for this energetic asvice. I appreciate it.,your welcome. 👍,Soo tell me how r u?,others
Yeah you're absolutely right dear...you are too genius,sarcasm at its best,Very funny you are,happy
Srry dear,no no. It's ok!,It's going fine,others
U are my jaan,who's starring in it???????,😭😭,sad
Failing now,I can't relate,Failing miserably now,sad
Wt abt u,Still half asleep :D,Haha,happy
I am not interested to chat with you,CASUAL,Please u don't chat with me,angry
"I'm not u r bff ,I wanna be u r bf",you're not i am,I love you,others
Note direction my address,I know how to get to your house but i dont know the address,So come,others
I meant sarcastically😂,ha-ha how often sarcasm is mistaken for reality. Sigh 😁,😂,happy
Yeah a lot enjoy,oh do u have any favourites?,Cricket game,others
Iam talking about the girl in youe profile picture,ok you are the second person telling me that...i need to change it!,Noooo,others
Ok,Mm,You know what?,others
Shut up you idiot,you only say that because you are my friend tbhhh,You're annoying,angry
Don't ever message me again,why,Don't reply,angry
Can you tell me,sure!,Some tips about how to impress girls ??,others
You know me,IVE KNOWN YOU FOR YEARS,👍🏻👍🏻,others
U think I am smart than u,I think you're awesome!,U are smart,others
Not a phrase,You are correct. It isn't a song. It's a masterpiece.,What is the name of the song,others
What this ?,what you think?,You are stupid,angry
Shut up,hehe but you rted :‑),You are not answering my question,angry
I will talk dirtu,Go do it,What,others
Repeat I can't understand,You do not want to see your inner soul.,No I don't want to see my inner soul,others
What do you heard about it,what about it?,I love your face,others
What?,hey :) nothing. You,I don't want to talk about that story,angry
Say about my future?,You should abort your future,Abort means?,others
Haha,Haha what's so funny 😄😄😄,The emoji of slap that was funny,happy
You are completely fake.,Look who's talking!,Yeah I can't trust you any more.you told me I love you.but again you told I didn't like you.what is this shit?,angry
Ok,How was it?,Very bad like you,sad
I have to drive,but I don't feel like driving I just got in,I am riding a car,others
Plz call me any u meets me,"Yes, Sensei. What is my task for the day?",Get last I m not talk with you,angry
I'll be waiting for you,Promise I will,Tomorrow come to church in sector 3,others
Oh lol,lol Thanks!,Haha,happy
Wts ur studies,studies not bad as usual.,Graduate,others
hmm and you?,Right now. Do you like?,yep,others
Yup,Sooo... only up from here?,I see that coming,others
Wait i did,you actually forgot,What,others
Ha ha very funny,really...i am serious :),Whare should we go,happy
Actually sad,Why sad? 🙀,I am going to my homeland with bus and,sad
Which  is classic production,i prefer Nokia 3110 classic,Good joke,others
Your English isn't good I see,not how good your English vocabulary is,Yes it is,others
but wht should i,actually you asked me something,what i didnt,others
don't you have any better work to do,no. I was trying to make some plans but everyone seems busy,I am free,others
You are really a bad automated chatbot I ever seen,"no, i have all my podcast in itunes.",You are so bad,sad
Get lost idiot,i deleted this!,Bt i still show that,angry
It was a joke baby,And who was the joke on?,Me,others
"We will rule it together, someday",Yes we will… YES WE WILL!,How do you respond so fast?,others
Why the fuck are you replying then?,because I'm lonely,Why the fuck are you replying,angry
So better tell me everything,"I try to, you are giving me short responses so I feel like I can't.",Why so,others
Why,because I don't want to,No you are wrong,angry
Can make Tanya bharadwaj my gf,call her 'bhabhi ',Why,others
Why am I so bad?,Because you are.,You also think I am bad,sad
yep,Sending,fist one though,others
Show me something before you go,what if I don't go,I like your booty,others
I've got no idea😂,now U are going to get best actor in the reality show category😂,Yayyy😂😂😂,happy
Yeah....,So where are you?,At the bar,others
Am i pretty..?,youre the best :D,Nikanna kadhuly,others
I'm not suffering from any sickness,What disease?,You are partly stupid.,angry
Do u what baords even mean?,character is a datatype...,Your so stupid,angry
Dont remember,OK got it..,I am dying,sad
That you are weird,This is why I never joke with you.,But who told you this,others
how many lang you know,Around 12 by now,you are chut,others
What is name of your BF,Rumour,Wow Nice🤣🤣,happy
And missing you,thinking about you all day,Really?,others
How,we studied together remember?,How did you get ai,others
Never use that again,GUNYT :) have a sweet sleep,I hate text language,angry
No means no,whatever,whatever,angry
U only talk about fav things,you are my favorite taste :p,I'm in trouble,sad
